###################################################################################
#
# Mesen Game Database
#
# Automatically generated database based on Nestopia's DB and NesCartDB
#
# Generated on 2020-05-02 using:
#     -NewRisingSun's NES 2.0 header database (2020-04-26)
#     -NesCartDB (dated 2017-08-21)
#     -Nestopia UE's latest DB (dated 2015-10-22) 
# 
# Fields: CRC, System, Board, PCB, Chip, Mapper, PrgRomSize, ChrRomSize, ChrRamSize, WorkRamSize, SaveRamSize, Battery, Mirroring, Controller Type, Bus Conflicts, SubMapper, VsSystemType, PpuModel
#
###################################################################################
07A2F3B2,VsSystem,,,,99,40,16,0,2,0,0,4,7,,0,0,10
07AC930F,NesNtsc,,,,4,128,128,0,0,0,0,h,1,,0,,
07B2B315,NesNtsc,,,,295,512,512,0,0,0,0,h,1,,0,,
07B7EDA9,Dendy,,,,227,1024,0,8,0,8,1,h,1,,0,,
07C98AB5,NesNtsc,,,,0,16,8,0,0,0,0,v,1,,0,,
07D3F6CB,NesNtsc,BMC-FK23C,,,176,1024,1024,0,0,0,0,h,1,,1,,
07D92C31,Famicom,,,,4,256,128,0,0,8,1,h,1,,0,,
07EB2C12,Famicom,,,,208,128,256,0,0,0,0,h,1,,0,,
0809E07E,Famicom,,,,2,128,,8,0,0,0,v,,,,,
081CAAFF,Dendy,,,,164,512,0,8,0,8,1,h,1,,0,,
082626ED,NesNtsc,,,,3,32,32,0,0,0,0,v,1,,2,,
082778E6,NesNtsc,,,,91,128,512,0,0,0,0,v,1,,1,,
083E4FC1,NesPal,NES-TSROM,NES-TSROM-08,MMC3C,4,128,128,0,8,0,0,h,1,,0,,
08439D55,NesNtsc,,,,0,32,8,0,0,0,0,h,1,,0,,
084F61CD,Famicom,NAMCOT-3301,3301,,0,8,8,0,0,0,0,h,1,,0,,
0851843D,NesNtsc,,,,0,16,0,8,0,0,0,v,1,,0,,
085DE7C9,NesNtsc,NES-SLROM,NES-SLROM-06,MMC1B2,1,128,128,0,0,0,0,h,1,,0,,
086BC4B7,NesNtsc,,,,228,32,512,0,0,0,0,h,1,,0,,
087211F9,Famicom,,,,196,128,128,0,0,0,0,h,1,,0,,
0878A7EE,Dendy,,,,164,512,0,8,0,0,1,h,1,,1,,
0889A5B1,NesNtsc,,,,23,256,128,0,0,0,0,h,1,,3,,
0897021B,Famicom,SUNSOFT-FME-7,GRM-E301,SUNSOFT-5B,69,128,256,0,0,0,0,h,1,,0,,
089C295D,NesNtsc,,,,348,512,512,0,0,0,0,h,1,,0,,
089E97B2,NesNtsc,,,,0,32,8,0,0,0,0,v,1,,0,,
08AB020E,Dendy,,,,4,256,256,0,0,8,1,h,1,,0,,
08CF510F,Famicom,,,,83,128,256,0,0,0,0,h,1,,0,,
08D53FEC,NesNtsc,,,,0,32,8,0,0,0,0,v,1,,0,,
08D9DDAB,NesNtsc,,,,4,128,128,0,0,0,0,h,1,,0,,
08E11357,Famicom,,,,3,32,8,0,0,0,0,v,1,,2,,
08F3544B,NesNtsc,,,,4,128,256,0,0,0,0,h,1,,0,,
08FBF3F0,Dendy,,,,162,1024,0,8,0,8,1,h,1,,0,,
0902C8F0,Famicom,HVC-SKROM,HVC-SKROM-01,MMC1A,1,128,128,0,0,8,1,h,1,,0,,
091A6A4C,Playchoice,,,,1,256,0,8,8,0,0,h,1,,0,,
091ED5A9,Famicom,HVC-TLROM,HVC-TLROM-02,MMC3A,4,128,128,0,0,8,1,h,1,,0,,
092EC15C,Famicom,HVC-CNROM,HVC-CNROM-256K-01,,3,32,16,0,0,0,0,v,1,,2,,
0939852F,NesNtsc,NES-SNROM,NES-SNROM-05,MMC1B2,1,128,0,8,8,0,0,h,2,,0,,
093E845F,Famicom,HVC-SJROM,HVC-SJROM-01,MMC1,1,128,32,0,0,8,1,h,1,,0,,
09475BF9,NesNtsc,,,,0,16,8,0,0,0,0,h,1,,0,,
0955B54C,NesNtsc,AVE-NINA-06,NINA-06,,79,32,32,0,0,0,0,h,1,,0,,
095D8678,Dendy,,,,176,1024,0,8,0,32,1,h,1,,0,,
09663DC5,NesNtsc,,,,1,128,128,0,0,0,0,h,1,,0,,
096D8364,NesPal,NES-UNROM,NES-UNROM-10,,2,128,0,8,0,0,0,v,1,,2,,
096FAFDA,NesNtsc,,,,0,32,8,0,0,0,0,v,1,,0,,
0973F714,Famicom,,,,1,256,0,8,0,8,1,h,1,,0,,
09740409,Dendy,,,,4,256,256,0,0,8,1,h,1,,0,,
09874777,NesNtsc,NES-ANROM,NES-ANROM-01,,7,128,0,8,0,0,0,h,1,,1,,
098BC195,NesNtsc,,,,4,32,8,0,0,0,0,h,1,,0,,
098C672A,Famicom,NAMCOT-163,LROG076-00,163,19,256,256,0,0,8,1,h,1,,3,,
099B8CAA,Famicom,HVC-SLROM,HVC-SLROM-03,MMC1B2,1,128,128,0,0,0,0,h,1,,0,,
09C083B7,NesNtsc,NES-SLROM,NES-SLROM-03,MMC1A,1,128,128,0,0,0,0,h,8,,0,,
09C1FC7D,Famicom,HVC-SGROM,HVC-SGROM-03,MMC1B2,1,256,0,8,0,0,0,h,1,,0,,
09C31CD4,NesNtsc,COLORDREAMS-74*377,UNK-COLORDREAMS-REVA,,11,32,32,0,0,0,0,h,1,,0,,
09C7AED3,Dendy,,,,163,2048,0,8,0,8,1,v,1,,0,,
09CA75FB,NesNtsc,,,,3,32,16,0,0,0,0,v,1,,2,,
09E3DCB4,NesNtsc,,,,125,128,0,8,8,0,0,v,1,,0,,
09FBAF92,NesNtsc,,,,348,512,512,0,0,0,0,h,1,,0,,
09FFDF45,Famicom,HVC-SNROM,HVC-SNROM-09,MMC1B3,1,256,0,8,0,8,1,h,1,,0,,
0A0121DC,NesNtsc,,,,4,256,256,0,0,0,0,h,1,,0,,
0A090C11,NesNtsc,,,,4,128,128,0,0,0,0,h,1,,0,,
0A0926BD,NesNtsc,NES-SLROM,NES-SLROM-06,MMC1B2,1,128,128,0,0,0,0,h,1,,0,,
0A244228,Dendy,,,,164,512,0,8,8,0,1,h,1,,1,,
0A3FC393,Famicom,HVC-NROM-128,HVC-NROM-02,,0,16,8,0,0,0,0,v,35,,0,,
0A42D84F,Famicom,HVC-UNROM,HVC-UNROM-05,,2,128,0,8,0,0,0,v,1,,2,,
0A486DD7,NesNtsc,,,,176,512,512,0,0,0,0,h,1,,0,,
0A73A792,Famicom,HVC-SGROM,HVC-SGROM-03,MMC1A,1,256,0,8,0,0,0,h,1,,0,,
0A7D9E37,NesNtsc,,,,551,128,128,0,0,8,1,h,1,,0,,
0A7E62D4,NesNtsc,NES-TLROM,NES-TLROM-03,MMC3C,4,256,256,0,0,0,0,h,1,,0,,
0AA1D73D,NesNtsc,,,,4,128,256,0,0,8,1,h,1,,0,,
0AA209C0,NesNtsc,,,,2,64,0,8,0,0,0,h,1,,2,,
0AA49929,Dendy,,,,4,256,256,0,0,0,0,h,1,,0,,
0AB26DB6,NesNtsc,COLORDREAMS-74*377,BC6,,11,128,128,0,0,0,0,v,1,,0,,
0AB2E826,NesNtsc,,,,283,256,0,8,0,0,0,v,1,,0,,
0ABDD5CA,Famicom,,,,1,128,0,8,8,0,0,h,3,,0,,
0AC1AA8F,NesNtsc,NES-UNROM,NES-UN-ROM-03,,2,128,0,8,0,0,0,v,1,,2,,
0ACC007E,NesNtsc,,,,2,128,0,8,0,0,0,v,1,,2,,
0ACFC3CD,NesNtsc,,,,132,32,32,0,0,0,0,h,1,,0,,
0AE3CC5E,Famicom,HVC-TKROM,HVC-TKROM-02,MMC3B,4,128,128,0,0,8,1,h,1,,0,,
0AE6C9E2,NesNtsc,NES-UNROM,NES-UNROM-09,,2,128,0,8,0,0,0,v,1,,2,,
0AEA38F7,NesNtsc,COLORDREAMS-74*377,UNK-COLORDREAMS-REVA,,11,64,64,0,0,0,0,v,1,,0,,
0AFB395E,Famicom,HVC-ELROM,HVC-ELROM-01,MMC5,5,128,128,0,0,0,0,h,8,,0,,
0B01C96D,NesNtsc,,,,2,128,0,8,0,0,0,v,1,,2,,
0B0C4573,NesNtsc,,,,0,16,8,0,0,0,0,v,1,,0,,
0B0E128F,NesNtsc,NES-EVENT,NES-EVENT-02,MMC1B2,105,256,0,8,8,0,0,h,1,,0,,
0B13658B,Famicom,HVC-SLROM,HVC-SLROM-03,MMC1B2,1,128,128,0,0,0,0,h,1,,0,,
0B1A8E70,NesNtsc,,,,0,16,8,0,0,0,0,h,1,,0,,
0B1E9726,Dendy,,,,164,1024,0,8,0,8,1,v,1,,0,,
0B2CF73F,NesNtsc,,,,176,512,512,0,0,0,0,h,1,,0,,
0B336F43,NesNtsc,,,,215,512,512,0,0,0,0,h,1,,0,,
0B3513A0,NesNtsc,,,,0,32,8,0,0,0,0,v,1,,0,,
0B395AA2,NesNtsc,,,,228,512,512,0,0,0,0,h,1,,0,,
0B404915,NesNtsc,NES-TLROM,NES-TLROM-03,MMC3B,4,128,128,0,0,0,0,h,1,,0,,
0B58880C,Famicom,HVC-NROM-128,3I,,0,16,8,0,0,0,0,h,1,,0,,
0B6443D4,Famicom,,,,4,256,256,0,0,0,0,h,1,,0,,
0B7FFE6A,NesNtsc,,,,1,128,128,,0,0,0,,,,,,
0B8E8649,Famicom,HVC-UNROM,HVC-UNROM-02,,2,128,0,8,0,0,0,v,1,,2,,
0B8F8128,NesPal,NES-TLROM,NES-TLROM-03,MMC3B,4,128,128,0,0,0,0,h,28,,0,,
0B9732B0,Dendy,,,,249,256,256,0,0,8,1,h,1,,0,,
0BA0737B,NesNtsc,,,,30,512,0,32,0,0,1,v,1,,0,,
0BB4FD7A,Famicom,,,,236,512,,8,0,0,0,,,,,,
0BB5B3A0,Famicom,,,,66,128,32,0,0,0,0,h,1,,0,,
0BBF80CB,Famicom,TAITO-X1-017,P3-044B,X1-017,82,128,256,0,0,8,1,h,1,,0,,
0BCAA4D7,NesNtsc,NES-TLROM,NES-TLROM-03,MMC3C,4,256,256,0,0,0,0,h,1,,0,,
0BDD8DD9,NesNtsc,NES-ANROM,NES-ANROM-03,,7,128,0,8,0,0,0,h,1,,1,,
0BE0A328,Famicom,,,,157,256,0,8,0,0,0,h,1,,0,,
0BF306D1,Famicom,,,,4,128,128,,0,0,0,,,,,,
